id,tag,type,location,clan_level,clan_points,clan_v_points,required_trophies,war_frequency,war_win_streak,war_wins,war_league,members,chat_language
104,#2L02QQQC9,closed,Philippines,5,16713,16320,0,always,0,23,Gold League III,35,English
105,#8CJ0CQQG,inviteOnly,Greece,7,7590,8060,0,always,1,105,Silver League III,7,
106,#2QL8C00UP,inviteOnly,,6,14096,13985,200,always,0,43,Gold League I,19,
107,#2QVRQJY2G,closed,Chile,2,2094,137,0,always,3,5,Unranked,5,Español
108,#2Q28VYVQG,inviteOnly,Philippines,3,7705,7887,0,always,5,17,Unranked,10,English
109,#2Q9QGC0QJ,inviteOnly,Philippines,2,11807,11165,0,always,1,7,Unranked,16,English
110,#2PP0Q9C8G,inviteOnly,Myanmar (Burma),5,6540,6771,600,always,4,63,Unranked,6,
111,#2QL0CQ0LJ,inviteOnly,Indonesia,3,5874,7336,0,always,0,18,Unranked,6,Bahasa Indonesia
112,#2YQQCLJPV,open,,4,8588,8351,800,always,1,24,Silver League II,11,
113,#JLUJ0Q89,inviteOnly,India,12,15422,15979,0,always,1,269,Gold League II,20,English
114,#G099RYPY,closed,India,12,10322,14428,1000,always,1,157,Crystal League III,12,
115,#92P20UJ,inviteOnly,Somalia,12,5099,263,5200,always,2,266,Unranked,5,
116,#29VVYU2QU,closed,Indonesia,6,15234,8438,1100,always,9,9,Crystal League I,16,
117,#2Q8RQVQPR,inviteOnly,International,1,8093,8064,200,always,0,2,Unranked,10,فارسی
118,#Y9Q8UQV0,inviteOnly,Bulgaria,11,12015,12754,2000,always,0,184,Bronze League I,14,
119,#2Q89YYPGQ,closed,International,4,3573,3802,0,always,0,39,Unranked,5,Bahasa Indonesia
120,#2Q02QC0R8,inviteOnly,Malaysia,5,13245,10764,2000,always,0,44,Unranked,8,English
121,#2Q0P2QYL9,inviteOnly,Indonesia,3,6707,4792,1000,always,1,19,Unranked,8,Bahasa Indonesia
122,#2YQCLY2VC,inviteOnly,India,2,10629,12704,1000,always,3,8,Unranked,13,English
123,#2LRG9RJV9,inviteOnly,Philippines,3,7192,7694,0,always,0,14,Silver League I,13,English
124,#2YC8YPV98,inviteOnly,International,2,1747,1400,0,always,0,9,Unranked,5,English
125,#U2GJ8Y9G,inviteOnly,Philippines,5,10156,10790,1300,always,1,35,Unranked,11,
126,#QVLVCLUG,inviteOnly,Bangladesh,8,13280,12471,4300,always,0,131,Silver League I,25,
127,#2LPJ28QGC,inviteOnly,International,3,4580,3371,0,always,2,23,Unranked,6,English
128,#2YGVUQVVR,inviteOnly,International,6,5658,6074,0,always,0,84,Unranked,11,English
129,#2YVL8UPRG,open,Turkmenistan,2,4699,6006,400,always,0,3,Unranked,14,Türkçe
130,#JGPU2U9Q,closed,Philippines,20,19374,20671,0,always,1,321,Crystal League III,27,
131,#2L8CY0QRQ,inviteOnly,Bangladesh,2,11622,11959,0,always,0,6,Unranked,15,English
132,#2YCR8GYR9,inviteOnly,United Kingdom,5,10944,13166,0,always,1,29,Silver League I,20,English
133,#2L2LJVUUJ,inviteOnly,Indonesia,4,9968,9314,1400,always,0,18,Unranked,12,Bahasa Indonesia
134,#2QYVPY8VJ,open,,2,6148,5746,600,always,1,6,Unranked,10,
135,#Q88YJJ98,closed,International,8,10632,9081,0,always,0,75,Gold League II,15,
136,#2P8GR98RR,closed,Philippines,6,8962,6386,5500,always,1,78,Unranked,13,English
137,#2QQ9YQ9JQ,inviteOnly,India,3,9143,9587,400,always,0,14,Unranked,9,English
138,#2YYJJJQCC,open,,6,10014,10501,0,always,0,37,Silver League I,12,English
139,#2QVVCR8YC,inviteOnly,Indonesia,2,4589,3260,0,always,0,7,Unranked,8,Bahasa Indonesia
140,#2QJPGQ9UJ,inviteOnly,Malaysia,2,4795,4980,0,always,2,11,Unranked,5,Bahasa Melayu
141,#2LU8J2VP8,closed,Indonesia,4,11828,14125,1400,always,1,16,Unranked,15,Bahasa Indonesia
142,#2QL8CLYRY,closed,Philippines,3,6312,5687,0,always,0,20,Unranked,11,English
143,#2PQGVCQGP,closed,Malaysia,4,6426,1260,600,always,6,16,Silver League II,12,Bahasa Melayu
144,#2YR2LUGJ0,inviteOnly,Indonesia,2,5617,8225,800,always,0,7,Unranked,10,Bahasa Indonesia
145,#JLUYPCVJ,inviteOnly,Myanmar (Burma),10,14354,15277,5500,always,0,167,Silver League I,27,
146,#CG8R9UV,closed,International,8,10383,11183,0,always,1,125,Silver League I,23,
147,#2L0Y8J82C,open,International,4,19096,18361,1400,always,0,10,Gold League I,26,English
148,#2G9G0PUP2,inviteOnly,Indonesia,1,8809,9617,0,always,1,2,Unranked,12,Bahasa Indonesia
149,#2LRQ9CQG9,inviteOnly,,3,4997,5610,0,always,1,26,Unranked,6,
150,#2LLYYGV89,open,International,5,16281,16258,800,always,0,23,Gold League III,24,English
151,#2PYPU9UQP,inviteOnly,Brunei,6,9046,9254,0,always,0,55,Silver League I,15,
152,#2LRLPVLYV,inviteOnly,International,2,13464,11992,2500,always,1,3,Unranked,14,
153,#P9GGLPGJ,inviteOnly,Australia,10,7672,6759,2600,always,1,180,Unranked,5,English
154,#YUYPYQ2J,inviteOnly,Indonesia,11,11759,10563,3000,always,0,212,Gold League III,11,Bahasa Indonesia
155,#2LYPUQURL,inviteOnly,International,4,6937,8018,0,always,0,26,Silver League I,12,فارسی
156,#2Q2JV0LYC,inviteOnly,Philippines,6,15813,16330,800,always,1,50,Gold League III,20,English
157,#2LR0JCRLP,closed,Philippines,2,14554,9815,5500,always,0,1,Crystal League II,13,English
158,#2QGLGGP0L,closed,Philippines,1,8323,7170,0,always,1,2,Unranked,10,English
159,#2Q2GGQR0R,closed,Saudi Arabia,4,4165,823,0,always,0,24,Silver League I,10,العربية
160,#2QQ8LYU20,inviteOnly,India,3,12527,11997,200,always,0,12,Unranked,13,English
161,#LYJC2L82,inviteOnly,Honduras,15,18991,15550,400,always,0,278,Crystal League I,19,
162,#2LYCVP829,closed,,7,13307,9668,0,always,0,40,Gold League II,50,
163,#RLPJ0QCY,inviteOnly,India,9,13352,13551,200,always,0,136,Silver League II,25,
164,#YJ8LCY8C,inviteOnly,Indonesia,15,32949,30264,1000,always,3,269,Crystal League I,31,Bahasa Indonesia
165,#2L20L82YY,inviteOnly,Syria,11,18884,19340,1000,always,22,77,Master League I,11,العربية
166,#2QG98JL9G,inviteOnly,,2,14335,15905,1400,always,0,3,Unranked,20,
167,#2LGLQ0JVC,closed,Russia,11,29200,27952,3000,always,0,74,Gold League I,38,Pусский
168,#8GCPYL22,inviteOnly,New Zealand,18,23959,19524,400,always,0,468,Crystal League II,31,English
169,#2QGU9PYYR,inviteOnly,,2,4629,5810,1000,always,0,7,Unranked,6,
170,#2QQ2002YJ,inviteOnly,Myanmar (Burma),2,3775,4204,600,always,0,6,Unranked,5,English
171,#2PGUC28U9,inviteOnly,International,3,5321,4811,0,always,0,10,Silver League III,10,
172,#2QQ8JCGJ2,closed,,2,5235,3306,0,always,0,3,Unranked,5,Bahasa Indonesia
173,#QP8UCYQY,inviteOnly,Indonesia,8,8169,4807,0,always,2,113,Bronze League I,13,
174,#2PVRR0Q2J,inviteOnly,Philippines,8,10823,13253,1500,always,1,37,Gold League II,12,
175,#2QLGCPPC9,inviteOnly,Philippines,3,3486,2668,1200,always,1,18,Unranked,5,English
176,#P8QJQ8GQ,inviteOnly,India,12,13283,14301,0,always,3,261,Silver League I,15,
177,#JLQJ9CY8,closed,Pakistan,11,4381,1868,0,always,7,154,Gold League I,12,English
178,#2QR2UQ9QJ,inviteOnly,Indonesia,6,11570,10644,1000,always,1,58,Gold League III,14,Bahasa Indonesia
179,#20PL0R2,inviteOnly,International,4,14534,13866,0,always,0,37,Unranked,15,
180,#2LQCVV0GC,open,International,3,10202,11923,0,always,0,21,Unranked,25,فارسی
181,#2QVPRYGCU,open,Indonesia,3,3783,4211,1500,always,0,12,Unranked,5,Bahasa Indonesia
182,#2PYYP89UJ,closed,Indonesia,3,7215,5625,1000,always,0,22,Unranked,5,Bahasa Indonesia
183,#2QQ999QGQ,closed,,2,2290,1649,0,always,0,3,Unranked,5,
184,#2YYPJ20VJ,closed,International,5,5905,4270,0,always,1,27,Gold League II,5,English
185,#L22PGQJR,closed,Indonesia,19,17554,17605,5500,always,5,610,Gold League III,30,
186,#U0PRRJ2V,closed,British Virgin Islands,9,6059,4209,2000,always,2,197,Unranked,5,
187,#2G09YQ2QP,closed,Philippines,2,4586,2967,0,always,0,5,Unranked,5,English
188,#V2LRY2QQ,inviteOnly,Iran,11,24298,27995,0,always,0,86,Gold League II,34,
189,#2YRCJJP02,inviteOnly,Iran,3,8991,8477,1000,always,0,13,Gold League III,10,فارسی
190,#2P8GCVUJY,inviteOnly,Indonesia,7,18147,18619,2000,always,5,72,Gold League II,18,
191,#29QVPYQRR,inviteOnly,Indonesia,4,8830,11302,1100,always,0,37,Unranked,11,Bahasa Indonesia
192,#2Q2U9Y0P0,inviteOnly,Philippines,4,13086,13843,400,always,1,28,Gold League III,23,English
193,#2LVQYRR2U,inviteOnly,Philippines,2,6596,5196,1000,always,0,7,Unranked,6,English
194,#2YUYL8GGL,inviteOnly,Philippines,6,8506,5385,0,always,1,54,Silver League II,11,English
195,#2QR2L89QP,inviteOnly,Indonesia,2,5510,2973,200,always,0,13,Unranked,8,Bahasa Indonesia
196,#2LV8J99P,closed,Philippines,17,22284,17185,5000,always,0,376,Crystal League II,21,
197,#2QJCVUQC2,open,Türkiye,3,10885,10364,0,always,0,11,Unranked,13,Türkçe
198,#RVUYGL82,closed,Philippines,12,23256,22812,0,always,0,176,Gold League II,36,English
199,#2LPQ2YRG9,inviteOnly,Philippines,4,8893,6590,0,always,0,21,Silver League II,12,English
200,#2G00UCC2J,inviteOnly,,2,9285,9750,0,always,1,7,Unranked,16,
201,#UGUVC8G0,inviteOnly,Philippines,10,9873,10701,0,always,0,138,Silver League II,11,English
202,#2YLUCVQQU,closed,Indonesia,2,3486,5448,0,always,0,4,Unranked,10,Bahasa Indonesia
203,#2QU2PG9LJ,closed,Philippines,4,9591,11183,2500,always,5,27,Gold League III,13,
204,#2LRVULQPP,open,,2,9650,11221,0,always,0,5,Unranked,23,
205,#2LVLRL0UJ,inviteOnly,India,6,12130,14043,0,always,1,86,Unranked,12,English
206,#V00YYGVP,closed,Nepal,11,10010,8175,5000,always,1,136,Gold League II,10,English
207,#2Y2VCQLUV,inviteOnly,International,4,11952,13967,0,always,0,29,Bronze League I,19,Bahasa Indonesia
208,#29RY8JPJQ,inviteOnly,Indonesia,7,15309,17424,1800,always,0,21,Gold League III,13,
209,#CL8CCY0U,inviteOnly,Indonesia,6,9172,9051,0,always,0,45,Silver League III,10,Bahasa Indonesia
210,#2QPQUJC2J,inviteOnly,Türkiye,2,4875,5113,0,always,0,6,Unranked,9,
211,#222LC2LP0,inviteOnly,,7,7387,8407,0,always,0,104,Silver League II,12,
212,#88GUVL8G,inviteOnly,International,9,15407,10337,0,always,0,141,Gold League III,15,
213,#LC0UYP0L,closed,Indonesia,7,6821,5784,5100,always,1,108,Silver League I,6,Bahasa Indonesia
